Using Techfile: /home/egor/openlane/pdks/sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /openLANE_flow/designs/sm_cpu/runs/20-05_20-11/results/klayout/sm_cpu.xor.gds
[INFO] Reading tech file: /home/egor/openlane/pdks/sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /openLANE_flow/designs/sm_cpu/runs/20-05_20-11/results/klayout/sm_cpu.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=30081526, record number=1721354, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=30139638, record number=1721364, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=30283958, record number=1721624, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=30392262, record number=1721744, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=42479494, record number=2558549, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=69125158, record number=4109744, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=76916022, record number=4562989, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=77133206, record number=4564104, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=77657142, record number=4577079, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=77739078, record number=4577129, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=85913834, record number=4900207, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=85951258, record number=4900217, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=86012890, record number=4900267, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=86071642, record number=4900272, cell=XOR)
[INFO] Writing out PNG screenshot '/openLANE_flow/designs/sm_cpu/runs/20-05_20-11/results/klayout/sm_cpu.xor.gds.png'
Done
